Age,Height,Weight,Bmi,BmiClass
61,1.85,109.3,31.935719503287068,3
60,1.71,79.02,27.02369959987689,2
60,1.55,74.7,31.09261186264308,3
60,1.46,35.9,16.841808969787955,0
60,1.58,97.1,38.89601025476686,3
59,1.71,79.32,27.126295270339593,2
59,1.7,73.32,25.370242214532873,2
59,1.72,85.32,28.83991346673878,2
59,1.46,36.0,16.88872208669544,0
59,1.83,104.7,31.26399713338708,3
58,1.71,79.31,27.122875414657504,2
58,1.7,73.41,25.401384083044984,2
58,1.72,85.21,28.80273120605733,2
58,1.47,36.0,16.65972511453561,0
57,1.71,79.3,27.119455558975414,2
57,1.7,73.5,25.432525951557096,2
57,1.72,85.1,28.76554894537588,2
57,1.75,110.0,35.91836734693877,3
57,1.58,79.7,31.925973401698442,3
57,1.47,36.0,16.65972511453561,0
57,1.6,99.1,38.71093749999999,3
56,1.71,79.29,27.116035703293328,2
56,1.7,73.59,25.463667820069208,2
56,1.72,84.99,28.728366684694432,2
56,1.59,75.8,29.982991179146392,2
56,1.47,36.1,16.706002128742657,0
56,1.8,98.5,30.401234567901234,3
56,1.59,98.0,38.764289387286894,3
55,1.72,79.28,26.798269334775558,2
55,1.71,73.68,25.197496665640713,2
55,1.73,84.88,28.36045307227104,2
55,1.72,95.0,32.11195240670633,3
55,1.7,160.0,55.36332179930796,3
55,1.48,36.1,16.48100803506209,0
54,1.72,79.32,26.811790156841536,2
54,1.71,73.82,25.245374645189973,2
54,1.61,78.1,30.1300104162648,3
54,1.48,36.2,16.526661796932068,0
54,1.61,100.3,38.69449481115697,3
53,1.72,79.31,26.808409951325043,2
53,1.62,76.3,29.073311995122687,2
53,1.49,36.2,16.305571821089142,0
53,1.62,101.7,38.7517146776406,3
52,1.72,79.3,26.805029745808547,2
52,1.71,74.0,25.3069320474676,2
52,1.6,73.0,28.515624999999993,2
52,1.49,36.3,16.350614837169495,0
52,1.64,105.1,39.07644259369423,3
51,1.72,79.29,26.801649540292054,2
51,1.71,74.09,25.337710748606412,2
51,1.63,70.2,26.421769731642144,2
51,1.5,36.4,16.177777777777777,0
51,1.75,91.2,29.779591836734696,2
51,1.7,107.3,37.1280276816609,3
50,1.73,79.28,26.489358147616024,2
50,1.72,74.18,25.074364521362902,2
50,1.74,84.38,27.870260272162767,2
50,1.8,135.0,41.666666666666664,3
50,1.62,46.0,17.527815881725342,0
50,1.63,72.5,27.287440249915317,2
50,1.5,36.5,16.22222222222222,0
50,1.84,106.9,31.574905482041586,3
50,1.66,110.5,40.10015967484396,3
49,1.73,79.02,26.40248588325704,2
49,1.72,74.02,25.020281233098974,2
49,1.74,84.02,27.751354207953494,2
49,1.6,75.0,29.296874999999993,2
49,1.6,44.0,17.187499999999996,0
49,1.64,77.9,28.96341463414635,2
49,1.51,36.6,16.051927547037412,0
49,1.63,103.2,38.842259776431185,3
48,1.74,79.01,26.096578147707756,2
48,1.73,74.11,24.761936583247017,1
48,1.75,83.91,27.399183673469388,2
48,1.63,100.0,37.63784862057285,3
48,1.58,42.0,16.82422688671687,0
48,1.68,79.5,28.167517006802726,2
48,1.51,36.7,16.095785272575764,0
48,1.69,110.9,38.82917264801653,3
47,1.74,79.0,26.09327520147972,2
47,1.73,74.2,24.792007751678973,1
47,1.75,83.8,27.363265306122447,2
47,1.55,40.0,16.649323621227886,0
47,1.65,75.3,27.658402203856753,2
47,1.52,36.8,15.92797783933518,0
47,1.82,99.7,30.099021857263615,3
47,1.75,112.2,36.63673469387755,3
46,1.74,78.99,26.08997225525168,2
46,1.73,74.29,24.82207892011093,1
46,1.75,83.69,27.32734693877551,2
46,1.86,70.0,20.23355301190889,1
46,1.73,77.0,25.727555214006482,2
46,1.52,36.9,15.971260387811634,0
46,1.74,111.2,36.728762055753734,3
45,1.74,78.98,26.086669309023648,2
45,1.73,74.38,24.85215008854288,1
45,1.75,83.58,27.291428571428572,2
45,1.68,140.0,49.60317460317461,3
45,1.84,68.0,20.085066162570886,1
45,1.72,78.3,26.467009194159008,2
45,1.53,37.0,15.805886624802426,0
45,1.78,90.7,28.626436056053528,2
45,1.8,116.0,35.80246913580247,3
44,1.74,78.62,25.967763244814375,2
44,1.73,74.12,24.7652778241839,1
44,1.75,83.12,27.14122448979592,2
44,1.82,66.0,19.925129815239703,1
44,1.71,74.4,25.44372627475121,2
44,1.53,37.2,15.89132384980136,0
44,1.8,96.1,29.66049382716049,2
44,1.79,116.4,36.328454168097124,3
43,1.74,78.61,25.96446029858634,2
43,1.73,74.21,24.795348992615853,1
43,1.75,83.01,27.10530612244898,2
43,1.8,64.0,19.753086419753085,1
43,1.69,72.2,25.27922691782501,2
43,1.54,37.4,15.769944341372913,0
43,1.78,114.5,36.13811387451079,3
42,1.74,78.6,25.961157352358303,2
42,1.73,74.3,24.825420161047813,1
42,1.75,82.9,27.069387755102042,2
42,1.65,90.0,33.057851239669425,3
42,1.78,62.0,19.568236333796236,1
42,1.75,76.5,24.979591836734695,1
42,1.54,37.5,15.812109967954123,0
42,1.79,93.8,29.274991417246653,2
